Fund,Rank,Ticker,Company,Sector,Shares,Market Value,Weight %,Description
"Established Value Fund",62,"EXPE","Expedia Group","Consumer Discretionary",640000,147769600,1.0093,"Online travel agency operating Expedia, Hotels.com and Vrbo."
"Established Value Fund",63,"CF","CF Industries Holdings","Materials",1070000,138928800,0.9490,"Major North American nitrogen-fertilizer (ammonia, urea) producer."
"Established Value Fund",64,"FFIV","F5 Inc.","Information Technology",460000,133091800,0.9091,"Provider of application-delivery, security and traffic-management technology."
"Established Value Fund",65,"LSTR","Landstar System","Industrials",770000,123438700,0.8432,"Asset-light truckload transportation and logistics company."
"Established Value Fund",66,"ZBRA","Zebra Technologies","Information Technology",580000,121266400,0.8283,"Maker of barcode scanners, mobile computers and asset-tracking systems."
"Established Value Fund",67,"CDW","CDW Corp.","Information Technology",945000,114363900,0.7812,"Reseller of IT hardware, software and services to business and government customers."
"Established Value Fund",68,"MKSI","MKS Inc.","Information Technology",480000,110308800,0.7535,"Supplier of process-control instruments and components for semiconductor manufacturing."
"Established Value Fund",69,"CHKP","Check Point Software","Information Technology",630000,89995500,0.6147,"Israel-based cybersecurity company specializing in network and firewall security."
"Established Value Fund",70,"FNV","Franco-Nevada","Materials",345000,85232250,0.5822,"Gold-focused royalty and streaming company that owns no mines directly."
"Established Value Fund",71,"CTRA","Coterra Energy","Energy",2280000,80119200,0.5473,"Oil and natural-gas producer with acreage in the Permian, Marcellus and Anadarko basins."
"Established Value Fund",72,"LPLA","LPL Financial Holdings","Financials",220000,66182600,0.4521,"Largest U.S. independent broker-dealer and advisory platform."
"Established Value Fund",,"","Cash & Liquidity Sweep","Cash",,2550000,0.0174,"Internal money-market / liquidity position (VCM Sycamore Established Value sweep) — not an operating company."
"Small Company Opportunity Fund",1,"UBSI","United Bankshares","Financials",1800000,74556000,1.7066,"Mid-Atlantic and Southeast regional bank holding company."
"Small Company Opportunity Fund",2,"RNST","Renasant","Financials",1965000,70995450,1.6251,"Southeastern U.S. regional bank holding company."
"Small Company Opportunity Fund",3,"CRC","California Resources","Energy",1005000,69566100,1.5924,"California-focused oil and gas producer with a carbon-management business."
"Small Company Opportunity Fund",4,"ONB","Old National Bancorp","Financials",3110000,68731000,1.5733,"Midwest-based regional bank holding company."
"Small Company Opportunity Fund",5,"TKR","The Timken Co.","Industrials",650000,65370500,1.4964,"Manufacturer of bearings and industrial power-transmission products."
"Small Company Opportunity Fund",6,"MGRC","McGrath RentCorp","Industrials",590000,65065200,1.4894,"Lessor of modular buildings, portable storage and test equipment."
"Small Company Opportunity Fund",7,"IDA","IDACORP","Utilities",450000,64336500,1.4727,"Holding company for Idaho Power, a regulated electric utility."
"Small Company Opportunity Fund",8,"UMBF","UMB Financial","Financials",560000,63162400,1.4458,"Midwest-based regional bank and financial-services firm."
"Small Company Opportunity Fund",9,"CRL","Charles River Laboratories","Health Care",364000,62790000,1.4373,"Provider of preclinical drug-development and laboratory-research services."
"Small Company Opportunity Fund",10,"GAP","Gap Inc.","Consumer Discretionary",2485000,60137000,1.3766,"Apparel retailer operating Gap, Old Navy, Banana Republic and Athleta."
"Small Company Opportunity Fund",11,"MGY","Magnolia Oil & Gas","Energy",1890000,59667300,1.3658,"South Texas (Eagle Ford and Austin Chalk) oil and gas producer."
"Small Company Opportunity Fund",12,"GPOR","Gulfport Energy","Energy",282000,59662740,1.3657,"Natural-gas exploration and production company (Utica and SCOOP plays)."
"Small Company Opportunity Fund",13,"INGM","Ingram Micro Holding","Information Technology",2555000,59557050,1.3633,"Global distributor of IT and technology products and services."
"Small Company Opportunity Fund",14,"OSW","OneSpaWorld Holdings","Consumer Discretionary",2560000,58752000,1.3449,"Operator of health-and-wellness spas on cruise ships and at resorts."
"Small Company Opportunity Fund",15,"SSB","SouthState","Financials",635000,58750200,1.3448,"Southeastern U.S. regional bank holding company."
"Small Company Opportunity Fund",16,"WFRD","Weatherford International","Energy",610000,57693800,1.3207,"Oilfield-services company providing drilling, completion and production technology."
"Small Company Opportunity Fund",17,"FCPT","Four Corners Property Trust","Real Estate",2425000,57351250,1.3128,"Net-lease REIT focused on restaurant and retail properties."
"Small Company Opportunity Fund",18,"MSM","MSC Industrial Direct","Industrials",615000,56746050,1.2990,"Distributor of metalworking and maintenance-and-repair (MRO) products."
"Small Company Opportunity Fund",19,"MD","Pediatrix Medical Group","Health Care",2630000,56255700,1.2877,"Provider of physician services in neonatal and maternal-fetal care."
"Small Company Opportunity Fund",20,"CHEF","The Chefs' Warehouse","Consumer Staples",945000,56180250,1.2860,"Distributor of specialty foods to upscale and independent restaurants."
"Small Company Opportunity Fund",21,"HUBG","Hub Group","Industrials",1545000,55681800,1.2746,"Intermodal freight transportation and logistics company."
"Small Company Opportunity Fund",22,"HAYW","Hayward Holdings","Industrials",4075000,54523500,1.2481,"Manufacturer of swimming-pool equipment and controls."
"Small Company Opportunity Fund",23,"SPNT","SiriusPoint","Financials",2520000,54280800,1.2425,"Bermuda-based specialty insurer and reinsurer."
"Small Company Opportunity Fund",24,"LAZ","Lazard","Financials",1265000,53737200,1.2301,"Financial-advisory (M&A, restructuring) and asset-management firm."
"Small Company Opportunity Fund",25,"MSGS","Madison Square Garden Sports","Communication Services",167000,53673800,1.2286,"Owner of the New York Knicks (NBA) and New York Rangers (NHL)."
"Small Company Opportunity Fund",26,"PLAB","Photronics","Information Technology",1320000,53341200,1.2210,"Maker of photomasks used in semiconductor and flat-panel-display manufacturing."
"Small Company Opportunity Fund",27,"SSD","Simpson Manufacturing","Industrials",305000,52344100,1.1982,"Maker of structural connectors and building products for construction."
"Small Company Opportunity Fund",28,"VNT","Vontier","Industrials",1465000,51963550,1.1895,"Provider of transportation- and fueling-infrastructure technology."
"Small Company Opportunity Fund",29,"MSA","MSA Safety","Industrials",315000,51644250,1.1822,"Manufacturer of safety equipment including gas detection and head protection."
"Small Company Opportunity Fund",30,"DOLE","Dole plc","Consumer Staples",3560000,50872400,1.1645,"Producer and marketer of fresh fruit and vegetables."
"Small Company Opportunity Fund",31,"NATL","NCR Atleos","Information Technology",1165000,50770700,1.1622,"Provider of ATMs and self-service banking technology."
"Small Company Opportunity Fund",32,"FCFS","FirstCash Holdings","Financials",270000,50760000,1.1619,"Operator of pawn stores across the U.S. and Latin America."
"Small Company Opportunity Fund",33,"FUL","H.B. Fuller","Materials",815000,50269200,1.1507,"Maker of industrial adhesives, sealants and specialty chemicals."
"Small Company Opportunity Fund",34,"RHP","Ryman Hospitality Properties","Real Estate",535000,49364450,1.1300,"REIT owning large Gaylord-branded convention resorts and Opry entertainment assets."
"Small Company Opportunity Fund",35,"COHU","Cohu","Information Technology",1565000,47920300,1.0969,"Supplier of semiconductor test and inspection equipment."
"Small Company Opportunity Fund",36,"CMC","Commercial Metals","Materials",780000,47915400,1.0968,"Steelmaker and recycler focused on rebar and construction-related products."
"Small Company Opportunity Fund",37,"TOWN","TowneBank","Financials",1420000,47811400,1.0944,"Virginia and North Carolina regional bank holding company."
"Small Company Opportunity Fund",38,"WERN","Werner Enterprises","Industrials",1625000,47791250,1.0940,"Truckload freight carrier and logistics provider."
"Small Company Opportunity Fund",39,"HFWA","Heritage Financial","Financials",1825000,47450000,1.0862,"Holding company for Heritage Bank, a Pacific Northwest regional bank."
"Small Company Opportunity Fund",40,"BYD","Boyd Gaming","Consumer Discretionary",575000,47253500,1.0817,"Operator of casinos and gaming resorts across multiple U.S. states."
"Small Company Opportunity Fund",41,"WTFC","Wintrust Financial","Financials",335000,46544900,1.0654,"Chicago-area regional bank and financial-services holding company."
"Small Company Opportunity Fund",42,"FHI","Federated Hermes","Financials",820000,46502200,1.0645,"Asset manager known for money-market and fixed-income funds."
"Small Company Opportunity Fund",43,"SF","Stifel Financial","Financials",625000,46200000,1.0576,"Diversified investment bank and wealth-management firm."
"Small Company Opportunity Fund",44,"SFBS","ServisFirst Bancshares","Financials",630000,45882900,1.0503,"Alabama-based commercial-bank holding company."
"Small Company Opportunity Fund",45,"SYBT","Stock Yards Bancorp","Financials",690000,45740100,1.0470,"Kentucky-based community-bank holding company."
"Small Company Opportunity Fund",46,"IOSP","Innospec","Materials",625000,45637500,1.0447,"Maker of specialty chemicals including fuel additives and performance chemicals."
"Small Company Opportunity Fund",47,"FELE","Franklin Electric","Industrials",480000,44241600,1.0127,"Maker of water and fueling pumping systems and motors."
"Small Company Opportunity Fund",48,"MTDR","Matador Resources","Energy",685000,43278300,0.9907,"Delaware Basin (Permian) oil and gas exploration and production company."
"Small Company Opportunity Fund",49,"ALG","Alamo Group","Industrials",260000,42892200,0.9818,"Maker of agricultural and infrastructure-maintenance equipment (mowers, vegetation management)."
"Small Company Opportunity Fund",50,"GXO","GXO Logistics","Industrials",825000,42776250,0.9792,"Pure-play contract logistics and warehousing provider."
"Small Company Opportunity Fund",51,"VC","Visteon","Consumer Discretionary",465000,42366150,0.9698,"Supplier of automotive cockpit electronics and digital displays."
"Small Company Opportunity Fund",52,"APLE","Apple Hospitality REIT","Real Estate",3630000,41781300,0.9564,"REIT owning upscale, select-service Marriott- and Hilton-branded hotels."
"Small Company Opportunity Fund",53,"ENSG","The Ensign Group","Health Care",206000,41509000,0.9502,"Operator of skilled-nursing and post-acute care facilities."
"Small Company Opportunity Fund",54,"QGEN","Qiagen","Health Care",1000000,40040000,0.9165,"Provider of sample-preparation and molecular-diagnostics products for life sciences."
"Small Company Opportunity Fund",55,"LGND","Ligand Pharmaceuticals","Health Care",200000,39930000,0.9140,"Biopharma royalty company that licenses drug-development technologies."
"Small Company Opportunity Fund",56,"JBTM","JBT Marel","Industrials",311000,39767570,0.9103,"Maker of food-processing and food-handling equipment."
"Small Company Opportunity Fund",57,"NVST","Envista Holdings","Health Care",1550000,39323500,0.9001,"Dental-products company (implants, orthodontics and equipment)."
"Small Company Opportunity Fund",58,"LRN","Stride","Consumer Discretionary",445000,39235650,0.8981,"Provider of online and blended K-12 and career education."
"Small Company Opportunity Fund",59,"TTAM","Titan America","Materials",2615000,39172700,0.8967,"Eastern U.S. cement, aggregates and building-materials producer."
"Small Company Opportunity Fund",60,"GBCI","Glacier Bancorp","Financials",875000,39086250,0.8947,"Holding company for community banks across the Mountain West."
"Small Company Opportunity Fund",61,"DCI","Donaldson Co.","Industrials",440000,37342800,0.8548,"Maker of filtration systems and replacement filters for engines and industry."
"Small Company Opportunity Fund",62,"ANDE","The Andersons","Consumer Staples",520000,37325600,0.8544,"Agribusiness spanning grain trading, plant nutrients and renewables."
"Small Company Opportunity Fund",63,"CENTA","Central Garden & Pet","Consumer Staples",1141000,36991220,0.8468,"Maker and distributor of lawn-and-garden and pet-supply products."
"Small Company Opportunity Fund",64,"LFUS","Littelfuse","Information Technology",109000,36989150,0.8467,"Maker of circuit-protection components — fuses, sensors and semiconductors."
"Small Company Opportunity Fund",65,"PLXS","Plexus","Information Technology",180000,36457200,0.8345,"Provider of electronics contract manufacturing and engineering services."
"Small Company Opportunity Fund",66,"PRSU","Pursuit Attractions & Hospitality","Consumer Discretionary",985000,36080550,0.8259,"Operator of travel attractions, lodges and tourism experiences (formerly Viad Corp)."
"Small Company Opportunity Fund",67,"SXT","Sensient Technologies","Materials",416000,35959040,0.8231,"Maker of colors, flavors and specialty ingredients."
"Small Company Opportunity Fund",68,"GRC","Gorman-Rupp","Industrials",565000,35103450,0.8035,"Manufacturer of industrial and municipal water pumps."
"Small Company Opportunity Fund",69,"PSMT","PriceSmart","Consumer Staples",230000,34615000,0.7924,"Operator of membership warehouse clubs in Latin America and the Caribbean."
"Small Company Opportunity Fund",70,"GTES","Gates Industrial","Industrials",1515000,34254150,0.7841,"Maker of power-transmission belts and fluid-power products."
"Small Company Opportunity Fund",71,"HP","Helmerich & Payne","Energy",945000,34048350,0.7794,"Land and offshore contract drilling company."
"Small Company Opportunity Fund",72,"LPX","Louisiana-Pacific","Materials",468000,34047000,0.7794,"Maker of engineered-wood building products such as siding and OSB."
"Small Company Opportunity Fund",73,"CHE","Chemed","Health Care",88000,33241120,0.7609,"Holding company for VITAS hospice care and Roto-Rooter plumbing services."
"Small Company Opportunity Fund",74,"HCC","Warrior Met Coal","Energy",350000,32602500,0.7463,"Producer of metallurgical (steelmaking) coal."
"Small Company Opportunity Fund",75,"ESAB","ESAB Corp.","Industrials",325000,31414500,0.7191,"Maker of welding and cutting equipment and consumables."
"Small Company Opportunity Fund",76,"PHIN","PHINIA","Consumer Discretionary",450000,30798000,0.7050,"Maker of fuel systems and aftermarket vehicle components (spun off from BorgWarner)."
"Small Company Opportunity Fund",77,"BANR","Banner Corp.","Financials",500000,30340000,0.6945,"Holding company for Banner Bank, a Pacific Northwest regional bank."
"Small Company Opportunity Fund",78,"LYFT","Lyft","Industrials",2260000,30058000,0.6881,"Ride-hailing and transportation-network operator in North America."
"Small Company Opportunity Fund",79,"DORM","Dorman Products","Consumer Discretionary",285000,29742600,0.6808,"Supplier of aftermarket automotive replacement parts."
"Small Company Opportunity Fund",80,"WTTR","Select Water Solutions","Energy",1925000,29452500,0.6742,"Provider of water-management services for oil and gas operations."
"Small Company Opportunity Fund",81,"EXP","Eagle Materials","Materials",155000,29364750,0.6722,"Producer of cement, gypsum wallboard and construction aggregates."
"Small Company Opportunity Fund",82,"WTS","Watts Water Technologies","Industrials",100000,29029000,0.6645,"Maker of water-quality, flow-control and plumbing products."
"Small Company Opportunity Fund",83,"CXT","Crane NXT","Industrials",715000,29021850,0.6643,"Provider of currency, payment and authentication technology."
"Small Company Opportunity Fund",84,"DCO","Ducommun","Industrials",235000,28670000,0.6563,"Manufacturer of aerospace and defense structural and electronic components."
"Small Company Opportunity Fund",85,"KWR","Quaker Houghton","Materials",230000,28572900,0.6541,"Maker of industrial process fluids and lubricants."
"Small Company Opportunity Fund",86,"SLGN","Silgan Holdings","Materials",730000,28324000,0.6484,"Manufacturer of metal and plastic packaging (food cans and closures)."
"Small Company Opportunity Fund",87,"RAL","Ralliant","Information Technology",680000,28281200,0.6474,"Precision-instrumentation and test-and-measurement company spun off from Fortive in 2025."
"Small Company Opportunity Fund",88,"WSC","WillScot Holdings","Industrials",1605000,27862800,0.6378,"Lessor of modular space and portable-storage units."
"Small Company Opportunity Fund",89,"CVCO","Cavco Industries","Consumer Discretionary",56000,27120240,0.6208,"Manufacturer of factory-built and manufactured homes."
"Small Company Opportunity Fund",90,"BOW","Bowhead Specialty Holdings","Financials",1145000,25682350,0.5879,"Specialty property-casualty insurance underwriter."
"Small Company Opportunity Fund",91,"RYN","Rayonier","Real Estate",1229000,25341980,0.5801,"Timberland REIT that owns and manages commercial forestland."
"Small Company Opportunity Fund",92,"CNS","Cohen & Steers","Financials",402000,25145100,0.5756,"Asset manager specializing in real assets and listed real estate."
"Small Company Opportunity Fund",93,"VSH","Vishay Intertechnology","Information Technology",1340000,24120000,0.5521,"Manufacturer of discrete semiconductors and passive electronic components."
"Small Company Opportunity Fund",94,"SFM","Sprouts Farmers Market","Consumer Staples",295000,22753350,0.5208,"Specialty grocery chain focused on fresh and natural/organic foods."
"Small Company Opportunity Fund",95,"FORM","FormFactor","Information Technology",232000,22501680,0.5151,"Maker of semiconductor probe cards and test systems."
"Small Company Opportunity Fund",96,"AXS","Axis Capital Holdings","Financials",221000,22411610,0.5130,"Bermuda-based specialty insurer and reinsurer."
"Small Company Opportunity Fund",97,"MLI","Mueller Industries","Industrials",202000,22381600,0.5123,"Manufacturer of copper, brass and metal products (tube and fittings)."
"Small Company Opportunity Fund",98,"HTO","H2O America","Utilities",360000,21121200,0.4835,"Water and wastewater utility holding company (formerly SJW Group)."
"Small Company Opportunity Fund",99,"CPRI","Capri Holdings","Consumer Discretionary",1165000,20527300,0.4699,"Luxury fashion group that owns the Michael Kors and Jimmy Choo brands."
"Small Company Opportunity Fund",100,"VIAV","Viavi Solutions","Information Technology",590000,19635200,0.4495,"Maker of network test-and-monitoring instruments and optical technology."
"Small Company Opportunity Fund",101,"IPAR","Inter Parfums","Consumer Staples",210000,19076400,0.4367,"Developer and marketer of licensed prestige fragrances."
"Small Company Opportunity Fund",102,"TSEM","Tower Semiconductor","Information Technology",95000,16670600,0.3816,"Israel-based specialty-foundry semiconductor manufacturer."
"Small Company Opportunity Fund",103,"GHC","Graham Holdings","Consumer Discretionary",15000,15858900,0.3630,"Diversified holding company spanning education, healthcare, media and manufacturing."
"Small Company Opportunity Fund",104,"MBLY","Mobileye Global","Consumer Discretionary",2275000,15629250,0.3578,"Developer of advanced driver-assistance and autonomous-driving technology."
